method,lr,step,x,y,loss
Adam_Sequential,0.1,92,-1.09304,0.952495,466.591
Adam_Sequential,0.1,93,-1.09066,0.948645,457.134
Adam_Sequential,0.1,94,-1.0883,0.944902,448.026
Adam_Sequential,0.1,95,-1.08596,0.941264,439.226
Adam_Sequential,0.1,96,-1.08365,0.937727,430.699
Adam_Sequential,0.1,97,-1.08135,0.934289,422.414
Adam_Sequential,0.1,98,-1.07907,0.930946,414.352
Adam_Sequential,0.1,99,-1.07681,0.927695,406.5
Adam_Sequential,0.1,100,-1.07456,0.924532,398.85
Adam_Parallel,0.1,10,-1.59899,1.51452,82127.9
Adam_Parallel,0.1,20,-1.03424,0.888037,28289.5
Adam_Parallel,0.1,30,-0.772948,0.581889,10841.2
Adam_Parallel,0.1,40,-0.664978,0.466465,5105.97
Adam_Parallel,0.1,50,-0.624933,0.437271,2881.67
Adam_Parallel,0.1,60,-0.615206,0.43487,1859.68
Adam_Parallel,0.1,70,-0.618983,0.432859,1332.86
Adam_Parallel,0.1,80,-0.627045,0.425442,1019.96
Adam_Parallel,0.1,90,-0.633693,0.415924,816.51
Adam_Parallel,0.1,100,-0.636316,0.408485,674.261
Adam_Sequential,0.01,1,3.58274,-2.3455,275185
Adam_Sequential,0.01,2,3.57274,-2.3355,272553
Adam_Sequential,0.01,3,3.56275,-2.32551,269942
Adam_Sequential,0.01,4,3.55276,-2.31553,267352
Adam_Sequential,0.01,5,3.54278,-2.30555,264784
Adam_Sequential,0.01,6,3.5328,-2.29558,262239
Adam_Sequential,0.01,7,3.52284,-2.28563,259715
Adam_Sequential,0.01,8,3.51288,-2.27569,257214
Adam_Sequential,0.01,9,3.50294,-2.26577,254735
Adam_Sequential,0.01,10,3.49301,-2.25587,252280
Adam_Sequential,0.01,11,3.4831,-2.24598,249847
Adam_Sequential,0.01,12,3.47321,-2.23612,247436
Adam_Sequential,0.01,13,3.46333,-2.22628,245049
Adam_Sequential,0.01,14,3.45347,-2.21647,242685
